OperatingPoint,measurementType,sysType,jetFlavor,etaMin,etaMax,ptMin,ptMax,discrMin,discrMax,formula
L,incl,central,0,0.0,2.5,20,1000,0,1,0.433232+0.000825257*x+-2.47629e-07*x*x+11.4121/x 
L,incl,down,0,0.0,2.5,20,1000,0,1,(0.433232+0.000825257*x+-2.47629e-07*x*x+11.4121/x)*(1-(0.100013+-7.96026e-06*x+2.92325e-09*x*x)) 
L,incl,down_correlated,0,0.0,2.5,20,1000,0,1,(0.433232+0.000825257*x+-2.47629e-07*x*x+11.4121/x)*(1-(0.0356051+1.87843e-05*x+-3.03118e-08*x*x)) 
L,incl,down_uncorrelated,0,0.0,2.5,20,1000,0,1,(0.433232+0.000825257*x+-2.47629e-07*x*x+11.4121/x)*(1-(0.0908603)) 
L,incl,up,0,0.0,2.5,20,1000,0,1,(0.433232+0.000825257*x+-2.47629e-07*x*x+11.4121/x)*(1+(0.100013+-7.96026e-06*x+2.92325e-09*x*x)) 
L,incl,up_correlated,0,0.0,2.5,20,1000,0,1,(0.433232+0.000825257*x+-2.47629e-07*x*x+11.4121/x)*(1+(0.0356051+1.87843e-05*x+-3.03118e-08*x*x)) 
L,incl,up_uncorrelated,0,0.0,2.5,20,1000,0,1,(0.433232+0.000825257*x+-2.47629e-07*x*x+11.4121/x)*(1+(0.0908603)) 
M,incl,central,0,0.0,2.5,20,1000,0,1,0.452033+0.000974984*x+-4.12462e-07*x*x+9.68473/x 
M,incl,down,0,0.0,2.5,20,1000,0,1,(0.452033+0.000974984*x+-4.12462e-07*x*x+9.68473/x)*(1-(0.157113+8.03871e-05*x+-9.43901e-08*x*x)) 
M,incl,down_correlated,0,0.0,2.5,20,1000,0,1,(0.452033+0.000974984*x+-4.12462e-07*x*x+9.68473/x)*(1-(0.0918283+0.000126264*x+-1.50781e-07*x*x)) 
M,incl,down_uncorrelated,0,0.0,2.5,20,1000,0,1,(0.452033+0.000974984*x+-4.12462e-07*x*x+9.68473/x)*(1-(0.128036)) 
M,incl,up,0,0.0,2.5,20,1000,0,1,(0.452033+0.000974984*x+-4.12462e-07*x*x+9.68473/x)*(1+(0.157113+8.03871e-05*x+-9.43901e-08*x*x)) 
M,incl,up_correlated,0,0.0,2.5,20,1000,0,1,(0.452033+0.000974984*x+-4.12462e-07*x*x+9.68473/x)*(1+(0.0918283+0.000126264*x+-1.50781e-07*x*x)) 
M,incl,up_uncorrelated,0,0.0,2.5,20,1000,0,1,(0.452033+0.000974984*x+-4.12462e-07*x*x+9.68473/x)*(1+(0.128036)) 
L,mujets,central,4,0.0,2.5,20,1000,0,1,1.00948+3.0839e-06*log(x+19)*log(x+18)*(3-92.4852*log(x+18)) 
L,mujets,central,5,0.0,2.5,20,1000,0,1,1.00948+3.0839e-06*log(x+19)*log(x+18)*(3-92.4852*log(x+18)) 
L,mujets,down,4,0.0,2.5,20,30,0,1,1.00948+3.0839e-06*log(x+19)*log(x+18)*(3-92.4852*log(x+18))-0.059796832501888275 
L,mujets,down,4,0.0,2.5,30,50,0,1,1.00948+3.0839e-06*log(x+19)*log(x+18)*(3-92.4852*log(x+18))-0.019170831888914108 
L,mujets,down,4,0.0,2.5,50,70,0,1,1.00948+3.0839e-06*log(x+19)*log(x+18)*(3-92.4852*log(x+18))-0.018440404906868935 
L,mujets,down,4,0.0,2.5,70,100,0,1,1.00948+3.0839e-06*log(x+19)*log(x+18)*(3-92.4852*log(x+18))-0.033448714762926102 
L,mujets,down,4,0.0,2.5,100,140,0,1,1.00948+3.0839e-06*log(x+19)*log(x+18)*(3-92.4852*log(x+18))-0.06348901242017746 
L,mujets,down,4,0.0,2.5,140,200,0,1,1.00948+3.0839e-06*log(x+19)*log(x+18)*(3-92.4852*log(x+18))-0.10567158460617065 
L,mujets,down,4,0.0,2.5,200,300,0,1,1.00948+3.0839e-06*log(x+19)*log(x+18)*(3-92.4852*log(x+18))-0.070227041840553284 
L,mujets,down,4,0.0,2.5,300,600,0,1,1.00948+3.0839e-06*log(x+19)*log(x+18)*(3-92.4852*log(x+18))-0.0617985799908638 
L,mujets,down,4,0.0,2.5,600,1000,0,1,1.00948+3.0839e-06*log(x+19)*log(x+18)*(3-92.4852*log(x+18))-0.24897776544094086 
L,mujets,down,5,0.0,2.5,20,30,0,1,1.00948+3.0839e-06*log(x+19)*log(x+18)*(3-92.4852*log(x+18))-0.02391873300075531 
L,mujets,down,5,0.0,2.5,30,50,0,1,1.00948+3.0839e-06*log(x+19)*log(x+18)*(3-92.4852*log(x+18))-0.0076683331280946732 
L,mujets,down,5,0.0,2.5,50,70,0,1,1.00948+3.0839e-06*log(x+19)*log(x+18)*(3-92.4852*log(x+18))-0.0073761618696153164 
L,mujets,down,5,0.0,2.5,70,100,0,1,1.00948+3.0839e-06*log(x+19)*log(x+18)*(3-92.4852*log(x+18))-0.013379485346376896 
L,mujets,down,5,0.0,2.5,100,140,0,1,1.00948+3.0839e-06*log(x+19)*log(x+18)*(3-92.4852*log(x+18))-0.025395605713129044 
L,mujets,down,5,0.0,2.5,140,200,0,1,1.00948+3.0839e-06*log(x+19)*log(x+18)*(3-92.4852*log(x+18))-0.042268633842468262 
L,mujets,down,5,0.0,2.5,200,300,0,1,1.00948+3.0839e-06*log(x+19)*log(x+18)*(3-92.4852*log(x+18))-0.028090815991163254 
L,mujets,down,5,0.0,2.5,300,600,0,1,1.00948+3.0839e-06*log(x+19)*log(x+18)*(3-92.4852*log(x+18))-0.02471943199634552 
L,mujets,down,5,0.0,2.5,600,1000,0,1,1.00948+3.0839e-06*log(x+19)*log(x+18)*(3-92.4852*log(x+18))-0.099591106176376343 
L,mujets,down_jes,4,0.0,2.5,20,30,0,1,1.00948+3.0839e-06*log(x+19)*log(x+18)*(3-92.4852*log(x+18))-0.0096629112958908081 
L,mujets,down_jes,4,0.0,2.5,30,50,0,1,1.00948+3.0839e-06*log(x+19)*log(x+18)*(3-92.4852*log(x+18))- -0.00056131917517632246 
L,mujets,down_jes,4,0.0,2.5,50,70,0,1,1.00948+3.0839e-06*log(x+19)*log(x+18)*(3-92.4852*log(x+18))-0.00093337078578770161 
L,mujets,down_jes,4,0.0,2.5,70,100,0,1,1.00948+3.0839e-06*log(x+19)*log(x+18)*(3-92.4852*log(x+18))- -0.0011926204897463322 
L,mujets,down_jes,4,0.0,2.5,100,140,0,1,1.00948+3.0839e-06*log(x+19)*log(x+18)*(3-92.4852*log(x+18))-0.002196598332375288 
L,mujets,down_jes,4,0.0,2.5,140,200,0,1,1.00948+3.0839e-06*log(x+19)*log(x+18)*(3-92.4852*log(x+18))- -0.00030185363721102476 
L,mujets,down_jes,4,0.0,2.5,200,300,0,1,1.00948+3.0839e-06*log(x+19)*log(x+18)*(3-92.4852*log(x+18))-0.00036412320332601666 
L,mujets,down_jes,4,0.0,2.5,300,600,0,1,1.00948+3.0839e-06*log(x+19)*log(x+18)*(3-92.4852*log(x+18))-0.0016678475076332688 
L,mujets,down_jes,4,0.0,2.5,600,1000,0,1,1.00948+3.0839e-06*log(x+19)*log(x+18)*(3-92.4852*log(x+18))-0.01168722752481699 
