OperatingPoint,measurementType,sysType,jetFlavor,etaMin,etaMax,ptMin,ptMax,discrMin,discrMax,formula
L,incl,central,0,0.0,2.5,20,1000,0,1,1.33091+6.62324e-05*x+-1.19411e-07*x*x+-1.84379/x 
L,incl,down,0,0.0,2.5,20,1000,0,1,(1.33091+6.62324e-05*x+-1.19411e-07*x*x+-1.84379/x)*(1-(0.0490522+6.44195e-05*x+-9.47618e-08*x*x)) 
L,incl,down_correlated,0,0.0,2.5,20,1000,0,1,(1.33091+6.62324e-05*x+-1.19411e-07*x*x+-1.84379/x)*(1-(0.0454285+6.90715e-05*x+-1.01414e-07*x*x)) 
L,incl,down_uncorrelated,0,0.0,2.5,20,1000,0,1,(1.33091+6.62324e-05*x+-1.19411e-07*x*x+-1.84379/x)*(1-(0.0182876)) 
L,incl,up,0,0.0,2.5,20,1000,0,1,(1.33091+6.62324e-05*x+-1.19411e-07*x*x+-1.84379/x)*(1+(0.0490522+6.44195e-05*x+-9.47618e-08*x*x)) 
L,incl,up_correlated,0,0.0,2.5,20,1000,0,1,(1.33091+6.62324e-05*x+-1.19411e-07*x*x+-1.84379/x)*(1+(0.0454285+6.90715e-05*x+-1.01414e-07*x*x)) 
L,incl,up_uncorrelated,0,0.0,2.5,20,1000,0,1,(1.33091+6.62324e-05*x+-1.19411e-07*x*x+-1.84379/x)*(1+(0.0182876)) 
M,incl,central,0,0.0,2.5,20,1000,0,1,1.33806+0.000233452*x+9.35591e-09*x*x+2.43996/x 
M,incl,down,0,0.0,2.5,20,1000,0,1,(1.33806+0.000233452*x+9.35591e-09*x*x+2.43996/x)*(1-(0.118505+0.000202743*x+-2.64228e-07*x*x)) 
M,incl,down_correlated,0,0.0,2.5,20,1000,0,1,(1.33806+0.000233452*x+9.35591e-09*x*x+2.43996/x)*(1-(0.110898+0.000211159*x+-2.76621e-07*x*x)) 
M,incl,down_uncorrelated,0,0.0,2.5,20,1000,0,1,(1.33806+0.000233452*x+9.35591e-09*x*x+2.43996/x)*(1-(0.0435201)) 
M,incl,up,0,0.0,2.5,20,1000,0,1,(1.33806+0.000233452*x+9.35591e-09*x*x+2.43996/x)*(1+(0.118505+0.000202743*x+-2.64228e-07*x*x)) 
M,incl,up_correlated,0,0.0,2.5,20,1000,0,1,(1.33806+0.000233452*x+9.35591e-09*x*x+2.43996/x)*(1+(0.110898+0.000211159*x+-2.76621e-07*x*x)) 
M,incl,up_uncorrelated,0,0.0,2.5,20,1000,0,1,(1.33806+0.000233452*x+9.35591e-09*x*x+2.43996/x)*(1+(0.0435201)) 
L,comb,central,4,0.0,2.5,20,1000,0,1,1.0007*(1.+0.000290434*x)/(1.+0.000349262*x) 
L,comb,central,5,0.0,2.5,20,1000,0,1,1.0007*(1.+0.000290434*x)/(1.+0.000349262*x) 
L,comb,down,4,0.0,2.5,20,30,0,1,1.0007*(1.+0.000290434*x)/(1.+0.000349262*x)-0.036870192736387253 
L,comb,down,4,0.0,2.5,30,50,0,1,1.0007*(1.+0.000290434*x)/(1.+0.000349262*x)-0.018523497506976128 
L,comb,down,4,0.0,2.5,50,70,0,1,1.0007*(1.+0.000290434*x)/(1.+0.000349262*x)-0.026087731122970581 
L,comb,down,4,0.0,2.5,70,100,0,1,1.0007*(1.+0.000290434*x)/(1.+0.000349262*x)-0.021970339119434357 
L,comb,down,4,0.0,2.5,100,140,0,1,1.0007*(1.+0.000290434*x)/(1.+0.000349262*x)-0.021595878526568413 
L,comb,down,4,0.0,2.5,140,200,0,1,1.0007*(1.+0.000290434*x)/(1.+0.000349262*x)-0.021700587123632431 
L,comb,down,4,0.0,2.5,200,300,0,1,1.0007*(1.+0.000290434*x)/(1.+0.000349262*x)-0.036243773996829987 
L,comb,down,4,0.0,2.5,300,600,0,1,1.0007*(1.+0.000290434*x)/(1.+0.000349262*x)-0.1063893660902977 
L,comb,down,4,0.0,2.5,600,1000,0,1,1.0007*(1.+0.000290434*x)/(1.+0.000349262*x)-0.12296096235513687 
L,comb,down,5,0.0,2.5,20,30,0,1,1.0007*(1.+0.000290434*x)/(1.+0.000349262*x)-0.014748076908290386 
